aal ale
alarm alarm
algorithmen algorithms
algorithmus algorithm
alkohol booze
allgemeinheit universality
allgemeinheiten universalities
allmacht omnipotence
alltag workaday
alphabet alphabet
alptraeume nightmares
alptraum nightmare
alter age
alternativen alternatives
amateur amateur
amateure amateurs
ameise ant
ameisen ants
amerika america
amethyst amethyst
amortisation amortization
amplitude amplitude
amsel blackbird
amseln blackbirds
analysator analyzer
ananas pineapple
andenken memento
andeutung inkling
andeutungen inklings
andrang boom
aneignung annexation
aneignungen annexations
anerkennungen recognitions
anfaenge commencements
anfaenger beginner
anfang init
anforderung requirement
anforderungen requirements
anfrage enquiry
anfuehrungen quotations
anfuehrungsstrich parenthesis
anfuehrungsstriche parentheses
angebot offer
angebote offerings
angelegenheit affair
angemessenheit adequacy
angestellter employee
angestelter employee
angreifer aggressor
angriff aggression
angriffe aggressions
angst anxiety
anhaenge appendices
anhaenger pendant
anhaeufung accumulation
anhaftung adherence
anhang appendage
anker anchor
anklage accusation
anklagen indictments
ankuendigung advertisement
ankuendigungen advertisements
ankunft arrival
anlage plant
anlegeplaetze wharves
anleitung navigating
anleitungen instructions
anmeldung announcement
anmerkung memo
anmut comeliness
annahme acceptance
annahmen assumptions
annehmlichkeit amenity
annehmlichkeiten goodies
anordnung adjustment
anordnungen dispositions
anpassung accomodation
anpassungen accomodations
anregung animation
anregungen incitements
anrichten sideboards
anruf call
anrufer caller
ansaetze rudiments
ansammlung package
ansatz rudiment
anschein semblance
anscheine semblances
anschlagtafel billboard
anschlagtafeln billboards
anschluss alignment
anschrift address
ansehen credit
anspielung allusion
anspielungen allusions
anspruch claim
anspruchsteller claimant
ansprueche claims
anstand decency
ansteckung contagion
ansteckungen contagions
anstifter abettor
anstoesse impulses
anstoss impuls
anstrengung effort
anstrengungen efforts
anstuerme onrushes
ansturm onrush
anteil quota
antenne antenna
antennen antennas
antipoden antipodes
antrieb impellent
antriebe incentives
antwort answer
anwaelte lawyers
anwaerter aspirant
anwalt advocate
anweisung directive
anwender operator
anzahlung commission
anzeige display
anzeigen indexes
anzug suit
apfel apple
apfelmus applesauce
apfelsaft cider
apostroph apostrophe
apotheke pharmacy
apotheken pharmacies
appetit appetite
appetitanreger appetizer
aprikosen apricots
april april
arbeit chore
arbeiten workings
arbeiter jobber
arbeitskraefte manpower
arbeitslosigkeit inoccupation
arbeitsraum workspace
arbeitsunterbrechung layoff
arbeitsunterbrechungen layoffs
arbeitszimmer study
architektur architecture
arglist guile
argument argument
argumente arguments
arm arm
armbaender bracelets
armband bracelet
arme arms
armut poorness
art fashion
arten kinds
artikel article
artischocken artichokes
arzt doctor
as ace
asche ash
aschenbecher ash-tray
aschenputtel cinderella
aspekt aspect
ast bough
atem breath
atlanten atlases
atlas atlas
atom atom
attraktion attraction
attribut attribute
attribute attributes
aufbruch decampment
aufenthalt sojourn
aufenthalte sojourns
aufgabe abandonment
aufgaben jobs
aufgebot banns
aufhaenger hanger
aufhaengung suspension
aufhebung rescission
aufhebungen rescissions
aufkleber stickers
auflister lister
aufloesung resolution
aufloesungen dissolutions
aufmerksamkeit attention
aufnahme absorbtion
aufnahmefaehigkeit capacitance
aufnahmen receptions
aufnehmen grabbing
aufregung commotion
aufregungen commotions
aufrichtigkeit candor
aufrichtigkeiten sincerities
aufruestung rearmament
aufruf calling
aufrufe invocations
aufruhr sedition
aufschlaege lapels
aufschlag lapel
aufschrei outcry
aufschreie outcries
aufschub adjurnment
aufschuebe adjurnments
aufschwuenge booms
aufseher checker
aufsicht checkers
aufstaende insurrections
aufstand insurrection
aufsteigen ascension
aufstellungsort site
aufstieg ascent
aufstiege ascents
auftraege commissions
auftrag order
auftrieb boost
aufwand effort
aufzeichnung chronicle
aufzeichnungen records
aufzuege elevators
aufzug elevator
augapfel eyeball
auge eye
augen eyes
augenaerzte oculists
augenarzt oculist
augenblick jiffy
augenblicke jiffies
augenbraue eyebrow
augenbrauen eyebrows
augenlid eyelid
augenlider eyelids
august august
ausarbeitung elaboration
ausarbeitungen elaborations
ausbesserung repair
ausbildung schooling
ausblick outlook
ausblicke outlooks
ausbruch eruption
ausbrueche eruptions
ausdauer endurance
ausdehnung expanse
ausdehnungen expanses
ausdruck expression
ausdrucksweise idiom
ausdrucksweisen parlances
ausdruecke expressions
ausfall blackout
ausfluege excursions
ausfluegler tripper
ausfluesse effluences
ausflug jaunt
ausfluss effluence
ausfuehrung achievement
ausfuehrungen achievements
ausfuhr export
ausgabe issuance
ausgaben dumps
ausgabename outputname
ausgaenge egresses
ausgang egress
ausgebend displaying
ausgestossene outcasts
ausgleich compensation
auskunft information
auslaeufer offshoot
auslass outlet
auslassungen interleaves
auslegung interpretation
auslieferung delivery
ausloeser trigger
ausnahme exception
ausnahmen exceptions
auspuff exhaust
auspufftopf silencer
ausreisser bolter
ausruestung equipment
ausruestungen kits
ausruf exclamation
ausrufe interjections
ausschluesse exclusions
ausschluss exclusion
ausschuss committee
aussehen lookout
aussen outer
aussenbezirke outskirts
aussenseiter outsider
aussetzer dropout
aussetzung exposure
aussparung recess
aussperrung lockout
aussperrungen lockouts
aussprache pronunciation
aussprachen pronunciations
ausstattung configuration
ausstattungen endowments
ausstellung exhibition
ausstellungen exhibitions
ausstoss ejection
ausstrahlung radiation
ausstrahlungen radiations
austausch interchange
auster oyster
austern oysters
austrag discharge
ausuebung exertion
auswahl choice
auswahlen choices
auswanderer emigrant
auswanderung emigration
auswechselungen exchanges
auswertung evaluation
auszubildende trainees
auszubildender trainee
auszuege epitomes
auszug epitome
auto car
autogramm autograph
autogramme autographs
automatik automatic
automatikwahl autodial
automation automation
autor author
autoren authors
autoritaet authority
baby baby
bach brook
bachstelze wagtail
bachstelzen wagtails
backe cheek
backen cheeks
backenbart whiskers
backenzaaehne molars
backenzahn molar
backfett shortening
backslash backslash
backspace backspace
backups backups
bad bath
bademantel bathrobe
badewanne bathtub
badezimmer bathroom
baeche rivulets
baecker baker
baeckerei bakery
baeckereien bakeries
baender ribbons
baer bear
baerte beards
baeuche bellies
baeuchlein tummies
baeume trees
bahn tram
bahnen trams
bahnhof station
bahnsteig platform
bahre bier
bahren biers
bakterie bacterium
bakterien bacteriums
baldrian valerian
balken beam
balkon balcony
balkone balconies
ball ball
ballast ballast
ballen bales
ballon balloon
ballsaal ballroom
balsam balm
bambus bamboo
banane banana
bananen bananas
band ribbon
bande gang
banden gangs
bandwuermer tapeworms
bandwurm tapeworm
bank bank
bankier banker
bankiers bankers
banner banner
bargeld hardcash
barren ingot
barriere barrage
bart beard
basis base
batch batch
batterie battery
bauch ventral
bauchredner ventriloquist
baudrate baudrate
bauer boor
bauern peasants
bauernhof farm
baugeruest scaffolding
baugruppe assembly
baum tree
baumwolle cotton
bausatz kit
bausch wad
bauteil component
bauweise construction
beachtung heed
beamte officials
beanspruchung stress
becher beaker
becken basin
bedachung roofing
bedachungen roofings
bedarf demand
bedauern regret
bedeutung meaning
bedeutungen meanings
bediener operators
bedienung handling
bedienungselement control
bedienungsfeld console
bedingung condition
bedingungen conditions
beeintraechtigungen derogations
beendigung determining
beep beep
beepen beeping
beerdigung burial
beerdigungen interments
beere berry
beeren berries
befaehigung qualification
befaehigungen qualifications
befehl comand
befehle comands
befehlsempfaenger heeler
befestigung attachment
befestigungen attachments
befoerderung preferment
befoerderungen preferments
befragen consult
befreier deliverer
befreiung deliverance
befreiungen liberations
befriedigung satisfaction
befuerchtung misgiving
befuerchtungen misgivings
begabungen talents
begegnung encounter
begeisterung rapture
begeisterungen raptures
begierde cupidity
begierden lusts
beginn beginning
begleiter tutor
begleitung attendance
begraebnis funeral
begraebnisse burials
begrenzer delimiter
begrenzungen limitations
begriff item
begriffe items
behaelter container
behandler handlers
behandlung therapy
behandlungen therapies
beharrlichkeit insistence
behauptung allegation
behauptungen allegations
beherrschung governing
behinderung handicap
behinderungen handicaps
behoerde authorities
beifall acclamation
beifuegung addendum
beifuegungen additions
beil hatchet
beilage enclosure
beile hatchets
beileid condolence
bein leg
beine legs
beispiel example
beispiele examples
beistand assistance
beitraege contributions
beitrag contribution
bekanntmachung proclamation
bekanntmachungen proclamations
bekanntschaft acquaintance
bekanntschaften acquaintances
bekenntnis confession
bekenntnisse avowals
bekraeftigung affirmation
bekraeftigungen affirmations
belaestigung inconvenience
belag facing
belastung encumbrance
beleg voucher
belege vouchers
belegung occupancy
beleidigung indignity
beleidigungen indignities
beleuchtung illumination
beleuchtungen lightings
beliebtheiten vogues
belohnung reward
belohnungen rewards
belustigung merriment
belustigungen merriments
bemerkung remark
bemuehung endevour
benchmark-Tests benchmarks
benehmen behaviour
benennung naming
bengel urchin
benzin benzine
beobachtung observation
beobachtungen observations
beratung consultation
beratungen consultations
berechnung calculation
berechnungen calculations
beredsamkeit eloquence
bereich range
bereitschaft readiness
berg mount
berge mountains
bergleute colliers
bergmann collier
bergwerk colliery
bericht bulletin
berichterstatter reporter
berichterstattung coverage
berieselungsanlage sprinkler
berieselungsanlagen sprinklers
beruehmtheit celebrity
beruehmtheiten celebrities
beruehrung touch
berufung vocation
berufungen vocations
beruhigung pacification
beruhigungsmittel sedatives
besatzung garrison
besatzungen garrisons
beschaedigung injury
beschaeftigte employees
beschaeftigung employ
beschaeftigungen employments
beschaffenheit habit
beschauer viewers
bescheidenheit humility
bescheidenheiten modesties
bescheinigung certification
bescheinigungen certifications
beschimpfungen wiggings
beschleuniger accelerator
beschleunigung acceleration
beschraenktheit narrowness
beschraenktheiten narrownesses
beschreibung description
beschreibungen descriptions
beschriftung lettering
beschriftungen letterings
beschuetzer guardian
beschuldigung imputation
beschuldigungen imputations
beschwerde complaint
beschwerden grievances
beseitigung elimination
besen besom
besenstiel broomstick
besenstiele broomsticks
besessenheit obsession
besessenheiten obsessions
besetzer occupant
besetzung allocation
besetzungen occupations
besichtigung sightseeing
besichtigungen sightseeings
besitz possession
besitze tenures
besitzer owners
besonderheit particularity
besorgnis solicitude
bestaendigkeit constancy
bestaetigung confirmation
bestandteil ingredient
bestandteile ingredients
bestatter mortician
bestattungsinstitut undertaker
bestattungsinstitute undertakers
bestechung bribery
bestechungen corruptions
bestellungen tillages
besteuerung taxation
besteuerungen taxations
bestie beast
bestimmung appointment
bestimmungen appointments
bestuerzung consternation
bestuerzungen consternations
besuch visit
besuche visitations
besucher visitor
betaeubungsmittel narcotics
beton concrete
betrachter viewer
betrachtung inspection
betrachtungen considerations
betraege amounts
betrag amount
betreiber carrier
betrieb deadausser
betriebs operating
betriebssicherheit reliability
betrueger blackleg
betruegerei trickery
betruegereien frauds
betrug deceit
bett bed
bettdecke blanket
betten beds
bettler beggar
bettstelle bedstead
bettstellen bedsteads
beute booty
bevoelkerung population
bevollmaechtigter attorney
bewachung custody
bewachungen custodies
beweggrund motivation
beweglichkeit flexibilty
bewegung motion
bewegungen locomotions
bewerber candidate
bewertung valuation
bewohner inhabitant
bewunderung admiration
bezahlung contributation
bezauberung enchantment
bezeichnung notation
bezeichnungen notations
beziehung relation
beziehungen relations
bezirk borough
bezirke cantons
bezug reference
bibel bible
biber beaver
bibliographie bibliography
bibliothek library
bibliothekar librarian
bibliothekare librarians
biegsamkeit pliancy
biegung inflexion
biegungen bends
biene bee
bienen bees
bienenkoerbe beehives
bienenstock beehive
bier beer
biere beers
bild picture
bilder images
bildhauer sculptor
bildschirm screen
bildschirm- onscreen
bildschirme screens
bildung formations
billigung approval
billigungen approvals
billion billion
binaer binary
binde ligature
binden bandages
bindestiche hyphens
bindestrich hyphen
bindestriche dashes
bindfaden packthread
bindfaeden packthreads
binnenland midland
binsenwahrheit truism
binsenwahrheiten truisms
birke birch
birken birches
birne pear
birnen pears
bisam musquash
bisamratten musquashes
bischof bishop
biss bite
bissen morsel
bitmodus bitmode
bitte please
bitten petitions
bittsteller applicant
blaeschen bleb
blaesse paleness
blaetter blades
blase bladder
blasen bladders
blatt leaf
blaumeise nun
blaumeisen nuns
blei lead
bleistift pencil
blick look
blickwinkel perspective
blindschleiche blindworm
blindschleichen blindworms
blitz flash
block block
blockade blockade
blockierung deadlock
bloecke blocks
bluete bloom
blueten blooms
blume flower
blumen flowers
blumenhaendler florist
blumenkohl cauliflower
blumenstraeusse nosegays
blumenstrauss bouquet
bluse blouse
blusen blouses
blut blood
blutbad massacre
blutbaeder massacres
bluterguss bruise
blutschande incest
blutvergiessen bloodshed
blutvergiftung sepsis
bock buck
boden floor
boeden bottoms
boee blast
boeen blasts
boegen bows
boersenmakler stockbrokers
boeswilligkeit malevolence
boeswilligkeiten malevolences
bogen arch
bohne bean
bohnen beans
bohrer auger
boje buoy
bolzen bolts
bombe bomb
bomben bombs
bonbon goody
bonbons sweetmeats
boot boat
bootfahrt boating
bordell brothel
bordelle brothels
bosheit malice
bosheiten malices
bote messenger
boten messengers
botschaft embassy
botschaften embassies
boutique millinery
boutiquen millineries
box box
boxen boxes
braeuche observances
braeutigam bridegroom
braeutigamme bridegrooms
brandstifter firebug
brandung surf
braten roast
bratensosse gravy
bratfett dripping
bratsche viola
brauch rite
braue brow
brauen brows
braut bride
braut- bridal
brechung refraction
brei pap
breie mushes
breite breadth
breiten latitudes
bremse brake
brenner burner
brennholz firewood
brennstoff fuel
brett plank
bretter planks
brief letter
briefkaesten mailboxes
briefkasten letter-box
briefkoepfe letterheads
briefkopf letterhead
briefmarke stamp
brieftasche billfold
brieftaschen billfolds
brieftraeger mailman
briefumschlag envelope
brille glasses
brisen breezes
brocken boulder
broetchen bun
brokat brocade
brombeerstrauch bramble
brosche brooch
broschuere booklet
brot bread
brote loaves
bruch fracture
bruchstueck fragment
bruchstuecke fragments
bruchteile fractions
bruder brother
brueche breaches
bruecke bridge
bruecken bridges
brueder brothers
bruederschaft brotherhood
brueste breasts
brummbaer growler
brunnen fountain
brunnenkresse watercress
brust breast
brustwarze nipple
brustwarzen nipples
brut spawn
brutalitaet brutality
buch book
buche beech
buchen beaches
buchname bookname
buchse female
buchseite page
buchstabe letter
buchstaben letters
bucht bay
buchtitel booknames
buchung posting
buckliger hunchback
bude booth
buden boothes
buecher books
buecherregal bookcase
buechse box
buechsen cans
buechsen- canned
buecklinge kippers
bueffel buffalo
buehne stage
buendel bale
buendnis alliance
buendnisse confederacies
buerge guarantor
buerger citizen
buergermeister mayor
buergerschaft township
buergersteig pavement
buergersteige sidewalks
buergerwehr militia
buero bureau
bueroklammer paperclip
bueroklammern paperclips
bueros bureaus
buerste brush
buesche bushes
bueschel tuft
bueste bust
buestenhalter brassiere
bulldogge bulldog
bulldoggen bulldogs
bummelstreik go-slow
bummler loafer
bund collar
bunde trusses
bunker bunker
bursche chap
bus bus
busch bush
busen bosom
busleitung highway
bussard buzzard
bussarde buzzards
busse penance
bussen penances
butter butter
butterbrot sandwich
butterbrote sandwiches
byte byte
bytes bytes
cAPS caps
cLS cls
cTRL ctrl
camera camera
cassette cassette
champignon mushroom
champignons mushrooms
chancen odds
checksumme checksum
checksummen checksums
chef boss
chemie chemistry
china china
chinin quinine
chip chip
chips chips
chirurg surgeon
chirurgen surgeons
chirurgie surgery
choere choirs
chor choir
chrom chromium
chroniken chronicles
clone clone
clones clones
club club
cluster cluster
code code
codes codes
codewoerter codewords
codierung encoding
compiler compiler
compilierung compilation
computer computer
copyright copyright
coupon coupon
coups coups
crash crash
cursor cursor
dEFINITIONEN definitions
dOS dos
dach housetop
dachdecker tiler
dachkammer garret
dachs badger
dachsparren rafter
dachstube garret
dachwohnung penthouse
dachwohnungen penthouses
dachzimmer garrets
daecher roofs
daemme embankments
daemmerung dawn
daemmerungen twilights
daempfe vapors
daempfer damper
daerme guts
dame dame
damen dames
damm embankment
dampf steam
dampfer damper
dank thank
dankbarkeit gratitude
danke thanx
danksagung thanksgiving
danksagungen thanksgivings
darbietungen presentations
darlehensgeber lender
darm bowel
darstellungen maps
datei database
dateien databases
dateikopf header
daten data
datenfile datafile
datum date
dauer duration
dauer- continuous
daumen thumbs
debugger debugger
dechiffrierung deciphering
decke blanket
deckel lid
decken blankets
decoder decoder
decodierer decrypter
definition definition
dehngefaess bellows
deich dike
deiche dikes
dekodierung decoding
dekorateur upholsterer
dekorateure upholsterers
delirien ravings
demo demo
demonstration demonstration
demonstrationen demonstrations
demos demos
demut humbleness
denkmaeler memorials
denkmal memorial
denkschrift memoir
denkschriften memoirs
denunziant informer
denunzianten informers
designer designer
detail detail
detektiv detective
deutschland germany
dezember december
diaet diet
diagnose diagnose
diagonale diagonals
diagramm diagram
dialekte idioms
dialog dialog
dichte densities
dichter poet
dichterin poetess
dichterinnen poetesses
dichtkuenste poetries
dichtkunst poetry
dichtungen fictions
dichtungsmittel sealant
dicke fatness
dickicht thicket
dickichte thickets
dieb burglar
diebe thieves
diebstaehle thefts
diener slave
dienst service
dienstag tuesday
dienste services
dienstprogramm utility
diese these
dieses this
dietrich picklock
diffusor diffusor
diktat dictation
dimension dimension
dimensionen dimensions
ding thing
dinge doings
dip dip
dipol dipole
directories directories
directory directory
direktiven directives
direktor headmaster
direktoren headmasters
dirnen prostitutes
diskette discette
disketten diskettes
diskrepanzen discrepancies
diskussion discussion
diskussionen discussions
distel thistle
disteln thistles
division division
docht wick
dochte wicks
doerfer cottages
dogge mastiff
doggen mastiffs
dohle daw
dohlen daws
doktoren doctors
dokument document
dokumentation documentation
dokumente documents
dolch dagger
dolche daggers
dolde umbel
dolden umbels
dollar dollar
dollars dollars
dom cathedral
domain domain
dome cathedrals
donner thunder
donnerschlaege thunderclaps
donnerschlag thunderclap
donnerstag thursday
donnerstage thursdays
doppelanschlag doublestrike
doppelpunkt colon
doppelzentner quintal
dorf cottage
dorfbewohner villager
dorn thorn
dornen thorns
dort there
dose tin
dosen tins
dosierungen dosages
dots dots
dotter yolk
drachen dragon
draehte wires
draht wire
draufgaenger dare-devil
drechsler turner
drehbuch scenario
drehbuecher scenarios
drehkreuz turnstile
drehkreuze turnstiles
drehmoment torque
drehmoment- torsional
drehpunkt fulcrum
drehzahl speed
drehzahlerhoehung speed-up
drehzahlmesser tachometer
drehzahlverminderung slow-down
dreiecke triangles
dreifuss tripod
dreirad tricycle
dreiraeder tricycles
dreizack trident
drescher thresher
droge drug
drogen drugs
drohung threat
drohungen threats
drossel throstle
drosseln bluebirds
druck pressure
druckausgaben printouts
drucke printings
drucker lineprinter
druckfehler errata
druckkopf printhead
druckregler pressurestat
druckschrift blockletters
drueckeberger quitter
druecken hitting
druese gland
druesen glands
dschungel jungle
dschunken junks
dudelsack bagpipe
dudelsaecke bagpipes
duebel dowel
duene dune
duenen dunes
duenger manure
duerre drought
duese nozzle
duesen nozzles
duft perfume
dummheit dullness
dummheiten fooleries
dummkopf dunce
dunkelheit darkness
dunkelheiten obscurities
dunst haze
durchblick vista
durchblicke vistas
durchbruch breakthrough
durcheinander jumble
durchfuehrbarkeit feasibility
durchgaenge gangways
durchgang thoroughfar
durchlauf pass
durchsatz performance
durchschnitt average
durchschnitte averages
durchsetzung enforcement
durchsicht perusal
durchsichten perusals
durchweg throughout
durst thirst
dusche shower
dutzend dozen
eRRORLEVEL errorlevel
eSC esc
ebene layer
ebenheit evenness
eber boar
echo echo
ecke corner
ecken corners
edelstein jewel
efeu ivy
effekte effects
ehe matrimony
ehebrecher adulterer
ehebrecherin adulteress
ehemann husband
ehen matrimonies
ehestifter matchmaker
ehre honesty
ehren honors
ehrerbietung obeisance
ehrerbietungen obeisances
ehrgeiz ambition
ei egg
eiche oak
eichel acorn
eicheln acorns
eichen oaks
eichhoernchen squirrel
eid oath
eide oaths
eidechse lizard
eidechsen lizards
eidotter yolk
eier eggs
eifer alacrity
eifersucht jealousy
eigenheit peculiarity
eigenheiten peculiarities
eigentum ownership
eimer bucket
einbahnstrasse oneway
einbildung conceit
einbildungen conceits
einblick insight
einbrecher burglar
einbruch irruption
einbrueche irruptions
eindringen penetration
eindringling interloper
eindringlinge interlopers
eindruck impression
eindruecke impressions
einehe monogamy
einehen monogamies
einfachheit simplicity
einfaelle incursions
einfahrt gateway
einfall incursion
einfallspinsel simpleton
einfluesse influences
einfluss influence
einfuegung insertion
einfuegungen insertions
einfuehrung inaugural
einfuehrungen inaugurals
einfuellstutzen filler
einfuhren importations
eingabe feed
eingabename inputname
eingang entrance
eingebend entering
eingebung inspiration
eingebungen inspirations
eingeweide bowels
eingeweihte hepcats
eingeweihter hepcat
eingriff encroachment
eingriffe encroachments
einheit unity
einheiten chunks
einhoerner unicorns
einhorn unicorn
einigkeiten unities
einkauf purchase
einkeitung introductory
einklang unison
einkommen income
einladung invitation
einladungen invitations
einlass inlet
einleitung introduction
einleitungen introductions
einmischungen interferences
einmuetigkeit unanimity
einmuetigkeiten unanimities
einordnung classification
einrichtung arrangement
einrichtungen constitutions
einsamkeit loneliness
einsatz encouragement
einschluesse enclosures
einschluss embedding
einschnitt gash
einschnitte incisions
einschraenkung limitation
einschraenkungen restrictions
einsicht discernment
einsichten discernments
einspritzventil injector
einspruch plea
einsprueche pleas
einstellung attitude
einstellungen settings
einstieg entrance
einstufung grading
einteilung graduation
eintoenigkeit monotony
eintoenigkeiten monotonies
eintopf mulligan
eintraege entries
eintrag inscription
eintragung entry
eintragungen inscriptions
eintritt admittance
einvernehmen understandings
einwaende objections
einwand objection
einwanderer immigrant
einwanderung immigration
einwanderungen immigrations
einweisung briefing
einwendung demur
einwendungen demurs
einwilligung adhesion
einwirkung impact
einwohner inhabitant
einzelhaendler retailer
einzelheit detail
einzelheiten details
einzigartigkeit singularity
einzigartigkeiten singularities
eis ice
eisberg iceberg
eisberge icebergs
eisen iron
eisenbahn railroad
eisenbahnen railways
eisenhaendler ironmonger
eisscholle floe
eisschollen floes
eisschrank refrigerator
eiszapfen icicle
elan verve
elastizitaet resilience
elastizitaeten resiliences
elch elk
elche elks
eleganz elegance
elektriker electrician
elektrizitaet electricity
elektronen electrons
elektronenroehre valve
element element
elemente elements
elendsviertel slums
elensviertel slum
elfenbein ivory
elite elite
ellenbogen elbow
ellipse ellipse
ellipsen ellipses
elster magpie
elstern magpies
eltern parents
elternteil parent
emaille enamel
empfaenger receiver
empfang receiving
empfehlung recommendation
empfinddlichkeit sensivity
empfindlichkeit sensibility
empfindlichkeiten sensivities
empfindung sentiment
empfindungen sentiments
empoerung indignations
emporkoemmling upstart
emporkoemmlinge upstarts
end- terminal
ende end
endlosigkeit infinity
endungen endings
energie energy
energieen energies
energien vigors
engel angel
englisch english
enkel grandchild
entdeckung detection
entdeckungen detections
ente duck
enten canards
enterich drake
entfernung distance
entfernungen remotenesses
entfuehrer kidnapper
entfuehrung kidnapping
entgelt hire
entgelte hires
enthusiasten enthusiasts
entlassung dismissal
entlassungen dismissals
entleiher borrower
entmutigung discouragement
entruestung indignation
entsagungen renunciations
entschaedigungen reparations
entscheidung arbitration
entscheidungen arbitrations
entschluesse resolutions
entschuldigung apology
entschuldigungen apologies
entspannung relaxation
enttaeuschung disappointment
entwickler developer
entwicklung developement
entwicklungen developments
entwurf design
entzuecken delight
entzuendung ignition
entzuendungen inflammations
epilog epilog
eraubnis allowance
erbe heir
erbin heiress
erblichkeit heredity
erbschaft heritage
erbschaften heritages
erbse pea
erbsen peas
erbstueck heirloom
erbteile inheritances
erdbeere strawberry
erdbeeren strawberries
erdnuesse peanuts
erdnuss peanut
erdrutsch landslide
erdrutsche landslides
ereignis event
ereignisse events
erfahrung experience
erfassung gathering
erfinder contrivancer
erfindung contrivance
erfindungen concoctions
erfolg prosperity
erfordernis requisite
erforscher explorer
erforschung exploration
erforschungen explorations
erfrischung refection
erfrischungen refections
erfuellung compliance
erfuellungen fulfillments
ergaenzung complement
ergaenzungen complements
ergebnis outcome
ergreifung seizure
ergreifungen seizures
erguesse effusions
erguss effusion
erhaltung preservation
erhebung levy
erhebungen levies
erhitzer boiler
erhoehung elevation
erinnerung memorization
erinnerungen reminders
erinnerungsluecken blackouts
erkenntnis cognition
erkenntnisse cognitions
erkennung recognition
erklaerung declaration
erklaerungen declarations
erkundung reconnaissance
erlaeuterung elucidation
erlaeuterungen elucidations
erlass writ
erlasse writs
erlaubnis admission
erlaubnisschein permit
erlaubnisse permissions
erleichterung relief
erleichterungen reliefs
erloes receipts
ermaechtigung authorization
ermuedung fatigue
ermutigungen encouragements
ernaehrung nutrition
ernennung nomination
ernennungen nominations
erneuerung renewal
erneuerungen renewals
ernst seriousness
ernte harvest
ernuechterung disillusion
ernuechterungen disillusions
eroberer conqueror
eroberung conquest
eroberungen captures
erosion erosion
erotik erotism
erpresser racketeer
erpressung blackmail
erpressungen blackmails
errichtung erection
errors errors
errungenschaften acquisitions
ersatz reparation
erscheinen occurence
erscheinung occurance
erscheinungen appearances
erschoepfung exhaustion
erschuetterung concussion
erschuetterungen concussions
ersparnis savings
ersparnisse savings
erstanwender newusers
erstarrung torpidity
erstaunen astonishment
erstellung building
ertrag yield
erwaehnung mention
erwaehnungen mentions
erwartung expectation
erwartungen expectations
erweiterer enhancer
erweitert enhanced
erweiterung extention
erweiterungen enhancements
erwerb acquisition
erwerber purchasers
erz ore
erzaehler narrator
erzaehlung narration
erzaehlungen narrations
erzeuger generators
erzeugung generation
erzieherin governess
erziehung breeding
esel ass
essig vinegar
etappe hop
etat budget
etikett etiquette
eule owl
eulen owls
euter udder
eventuell eventually
ewigkeit eternity
existenz existance
exkremente excrements
experiment experiment
experimente experiments
experte expert
expertengremium braintrust
exponenten exponentials
extrakt extraction
extrakte extractions
fREEWARE freeware
fabel fable
fabrik factory
fabrikat make
fabrikationen manufactures
fach panel
fachleute experts
fackel torch
fackeln torches
fackelschein torchlight
faden filament
fadennudeln vermicelli
faeden filaments
faehigkeit ability
faehigkeiten abilities
